state_code,labels,first_funding_at,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500
2,1,286,2.2493,3.0027,3,3,375000,3,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,788,0,1,0,0,0,0,1.0,0
2,1,210,5.126,9.9973,9,4,40100000,1,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,166,1,0,0,1,1,1,4.75,1
2,1,269,1.0329,1.0329,5,1,2600000,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,784,0,0,1,0,0,0,4.0,1
2,1,212,3.1315,5.3151,5,3,40000000,1,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,574,0,0,0,1,1,1,3.3333,1
2,0,477,0.0,1.6685,2,2,1300000,1,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,785,1,1,0,0,0,0,1.0,1
2,0,446,4.5452,4.5452,3,1,7500000,1,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,303,0,0,0,1,0,0,3.0,1
2,1,542,1.7205,5.211,6,3,26000000,2,1,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,158,1,0,1,1,0,0,1.6667,1
2,1,500,1.6466,6.7616,25,3,34100000,3,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,679,0,0,1,1,0,1,3.5,1
12,1,493,3.5863,11.1123,13,3,9650000,4,0,0,1,0,0,18,0,0,1,0,0,0,0,0,0,0,14,1,0,1,0,0,1,4.0,1
2,1,199,1.6712,4.6849,14,3,5750000,4,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,655,1,1,1,0,0,0,1.0,1
2,1,425,4.6274,9.4493,22,3,27500000,3,1,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,534,0,0,1,1,0,0,1.0,1
2,0,199,1.0849,5.3370000000000015,8,5,10400000,2,1,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,644,1,1,1,0,0,0,1.75,1
11,0,142,4.9041,4.9041,0,1,350000,0,0,0,0,0,1,34,0,1,0,0,0,0,0,0,0,0,415,1,0,0,0,0,0,1.0,0
22,1,188,0.0192,2.4356,15,3,9950000,3,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,112,0,0,1,1,1,0,2.3333,1
3,1,510,4.6658,8.9973,12,5,10700000,1,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,0,132,0,0,1,1,0,0,2.5,1
30,0,517,6.6082,6.6082,0,1,200000,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,1,700,1,0,0,0,0,0,1.0,0
2,0,493,2.5863,6.7644,8,5,49000000,1,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,186,1,0,1,1,1,1,3.5,1
2,1,197,4.5918,7.1726,7,4,25000000,3,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,20,0,0,1,1,1,1,3.5,1
